stock,model,horizon,threshold,n_samples,target_rate,recall,precision,note,accuracy,balanced_accuracy
AAPL,logreg,10.0,0.15,1279,0.0023455824863174357,1.0,0.016666666666666666,,,
AAPL,xgb,20.0,0.02,1269,0.491725768321513,0.8270676691729323,0.55,,,
AAPL,xgb,60.0,0.01,1229,0.6029292107404394,0.7682119205298014,0.6904761904761905,,,
AAPL,xgb,20.0,0.01,1269,0.5500394011032309,0.7364864864864865,0.6337209302325582,,,
AAPL,rf,60.0,0.01,1229,0.6029292107404394,0.7350993377483444,0.6607142857142857,,,
AAPL,xgb,60.0,0.02,1229,0.5663140764849471,0.6433566433566433,0.6433566433566433,,,
AAPL,xgb,60.0,0.03,1229,0.5337672904800651,0.5895522388059702,0.6475409836065574,,,
AAPL,xgb,20.0,0.03,1269,0.4326241134751773,0.5625,0.525,,,
AAPL,xgb,45.0,0.01,1244,0.5562700964630225,0.5602836879432624,0.626984126984127,,,
AAPL,xgb,90.0,0.01,1199,0.6330275229357798,0.5546875,0.5867768595041323,,,
AAPL,rf,60.0,0.02,1229,0.5663140764849471,0.5314685314685315,0.6178861788617886,,,
AAPL,knn,60.0,0.01,1229,0.6029292107404394,0.5298013245033113,0.6837606837606838,,,
AAPL,knn,60.0,0.02,1229,0.5663140764849471,0.4825174825174825,0.6831683168316832,,,
AAPL,logreg,1.0,0.02,1288,0.10015527950310558,0.4782608695652174,0.11578947368421053,,,
AAPL,xgb,45.0,0.03,1244,0.5056270096463023,0.46511627906976744,0.5309734513274337,,,
AAPL,rf,60.0,0.03,1229,0.5337672904800651,0.4626865671641791,0.5636363636363636,,,
AAPL,xgb,45.0,0.05,1244,0.4437299035369775,0.46017699115044247,0.48598130841121495,,,
AAPL,xgb,20.0,0.05,1269,0.3396375098502758,0.4567901234567901,0.40217391304347827,,,
AAPL,knn,45.0,0.01,1244,0.5562700964630225,0.4326241134751773,0.6559139784946236,,,
AAPL,knn,20.0,0.01,1269,0.5500394011032309,0.43243243243243246,0.6530612244897959,,,
AAPL,xgb,45.0,0.02,1244,0.5305466237942122,0.42857142857142855,0.5327102803738317,,,
AAPL,xgb,10.0,0.01,1279,0.49569976544175137,0.4180327868852459,0.6455696202531646,,,
AAPL,knn,20.0,0.02,1269,0.491725768321513,0.40601503759398494,0.675,,,
AAPL,knn,45.0,0.02,1244,0.5305466237942122,0.40601503759398494,0.6,,,
AAPL,knn,45.0,0.03,1244,0.5056270096463023,0.40310077519379844,0.5777777777777777,,,
AAPL,logreg,5.0,0.1,1284,0.009345794392523364,0.4,0.25,,,
AAPL,knn,45.0,0.05,1244,0.4437299035369775,0.39823008849557523,0.5172413793103449,,,
AAPL,knn,60.0,0.03,1229,0.5337672904800651,0.39552238805970147,0.6162790697674418,,,
AAPL,knn,45.0,0.07,1244,0.3995176848874598,0.37623762376237624,0.4810126582278481,,,
AAPL,rf,20.0,0.01,1269,0.5500394011032309,0.36486486486486486,0.6206896551724138,,,
AAPL,knn,20.0,0.03,1269,0.4326241134751773,0.35714285714285715,0.6349206349206349,,,
AAPL,xgb,10.0,0.02,1279,0.41594996090695857,0.3557692307692308,0.5441176470588235,,,
AAPL,knn,10.0,0.01,1279,0.49569976544175137,0.3442622950819672,0.5454545454545454,,,
AAPL,logreg,1.0,0.05,1288,0.007763975155279503,0.3333333333333333,1.0,,,
AAPL,rf,45.0,0.01,1244,0.5562700964630225,0.3262411347517731,0.5974025974025974,,,
AAPL,rf,20.0,0.02,1269,0.491725768321513,0.3233082706766917,0.589041095890411,,,
AAPL,knn,90.0,0.01,1199,0.6330275229357798,0.3203125,0.6029411764705882,,,
AAPL,logreg,1.0,0.03,1288,0.039596273291925464,0.3076923076923077,0.1,,,
AAPL,rf,45.0,0.02,1244,0.5305466237942122,0.2932330827067669,0.5064935064935064,,,
AAPL,rf,45.0,0.03,1244,0.5056270096463023,0.2868217054263566,0.4805194805194805,,,
AAPL,knn,5.0,0.01,1284,0.4431464174454829,0.2767857142857143,0.49206349206349204,,,
AAPL,rf,20.0,0.03,1269,0.4326241134751773,0.2767857142857143,0.45588235294117646,,,
AAPL,knn,90.0,0.02,1199,0.6013344453711427,0.27419354838709675,0.6071428571428571,,,
AAPL,rf,10.0,0.01,1279,0.49569976544175137,0.26229508196721313,0.5614035087719298,,,
AAPL,rf,45.0,0.05,1244,0.4437299035369775,0.25663716814159293,0.42028985507246375,,,
AAPL,logreg,5.0,0.03,1284,0.2266355140186916,0.25,0.3076923076923077,,,
AAPL,xgb,90.0,0.02,1199,0.6013344453711427,0.25,0.4492753623188406,,,
AAPL,knn,3.0,0.01,1286,0.3942457231726283,0.24468085106382978,0.40350877192982454,,,
AAPL,xgb,90.0,0.03,1199,0.5704753961634695,0.23275862068965517,0.43548387096774194,,,
AAPL,logreg,10.0,0.05,1279,0.21657544956997654,0.22916666666666666,0.3055555555555556,,,
AAPL,logreg,5.0,0.05,1284,0.10825545171339564,0.22857142857142856,0.26666666666666666,,,
AAPL,xgb,45.0,0.07,1244,0.3995176848874598,0.22772277227722773,0.3150684931506849,,,
AAPL,logreg,10.0,0.03,1279,0.34010946051602814,0.225,0.43902439024390244,,,
AAPL,rf,3.0,0.01,1286,0.3942457231726283,0.22340425531914893,0.3888888888888889,,,
AAPL,logreg,20.0,0.05,1269,0.3396375098502758,0.2222222222222222,0.9,,,
AAPL,logreg,10.0,0.1,1279,0.03127443315089914,0.2222222222222222,0.25,,,
AAPL,knn,90.0,0.03,1199,0.5704753961634695,0.20689655172413793,0.5333333333333333,,,
AAPL,logreg,10.0,0.01,1279,0.49569976544175137,0.20491803278688525,0.7575757575757576,,,
AAPL,logreg,10.0,0.02,1279,0.41594996090695857,0.20192307692307693,0.65625,,,
AAPL,knn,90.0,0.05,1199,0.5229357798165137,0.2018348623853211,0.5116279069767442,,,
AAPL,xgb,5.0,0.01,1284,0.4431464174454829,0.19642857142857142,0.5,,,
AAPL,rf,10.0,0.02,1279,0.41594996090695857,0.19230769230769232,0.40816326530612246,,,
AAPL,xgb,10.0,0.03,1279,0.34010946051602814,0.1875,0.46875,,,
AAPL,knn,20.0,0.05,1269,0.3396375098502758,0.18518518518518517,0.39473684210526316,,,
AAPL,rf,20.0,0.05,1269,0.3396375098502758,0.18518518518518517,0.2777777777777778,,,
AAPL,xgb,90.0,0.05,1199,0.5229357798165137,0.1834862385321101,0.35714285714285715,,,
AAPL,logreg,5.0,0.02,1284,0.32398753894080995,0.18292682926829268,0.36585365853658536,,,
AAPL,xgb,60.0,0.05,1229,0.4662327095199349,0.1774193548387097,0.4,,,
AAPL,rf,90.0,0.01,1199,0.6330275229357798,0.171875,0.3492063492063492,,,
AAPL,rf,5.0,0.01,1284,0.4431464174454829,0.16964285714285715,0.4634146341463415,,,
AAPL,knn,10.0,0.02,1279,0.41594996090695857,0.16346153846153846,0.4146341463414634,,,
AAPL,logreg,3.0,0.02,1286,0.25427682737169516,0.16129032258064516,0.38461538461538464,,,
AAPL,logreg,3.0,0.01,1286,0.3942457231726283,0.1595744680851064,0.375,,,
AAPL,rf,45.0,0.07,1244,0.3995176848874598,0.15841584158415842,0.2807017543859649,,,
AAPL,logreg,20.0,0.07,1269,0.23325453112687156,0.15384615384615385,0.20512820512820512,,,
AAPL,logreg,45.0,0.05,1244,0.4437299035369775,0.1504424778761062,0.8095238095238095,,,
AAPL,logreg,20.0,0.1,1269,0.11899133175728921,0.15,0.15,,,
AAPL,xgb,3.0,0.01,1286,0.3942457231726283,0.14893617021276595,0.5384615384615384,,,
AAPL,knn,10.0,0.03,1279,0.34010946051602814,0.1375,0.3548387096774194,,,
AAPL,logreg,10.0,0.07,1279,0.12275215011727912,0.13333333333333333,0.14285714285714285,,,
AAPL,logreg,20.0,0.01,1269,0.5500394011032309,0.12837837837837837,0.95,,,
AAPL,logreg,20.0,0.03,1269,0.4326241134751773,0.125,0.9333333333333333,,,
AAPL,logreg,3.0,0.07,1286,0.017107309486780714,0.125,0.25,,,
AAPL,logreg,3.0,0.03,1286,0.13996889580093314,0.125,0.4166666666666667,,,
AAPL,rf,10.0,0.03,1279,0.34010946051602814,0.125,0.2857142857142857,,,
AAPL,xgb,5.0,0.02,1284,0.32398753894080995,0.12195121951219512,0.47619047619047616,,,
AAPL,xgb,60.0,0.07,1229,0.4165988608624898,0.12037037037037036,0.34210526315789475,,,
AAPL,logreg,20.0,0.02,1269,0.491725768321513,0.11278195488721804,0.9375,,,
AAPL,knn,5.0,0.02,1284,0.32398753894080995,0.10975609756097561,0.32142857142857145,,,
AAPL,logreg,45.0,0.03,1244,0.5056270096463023,0.10852713178294573,0.875,,,
AAPL,logreg,1.0,0.01,1288,0.24922360248447206,0.10526315789473684,0.20689655172413793,,,
AAPL,logreg,3.0,0.05,1286,0.05287713841368585,0.1,0.4,,,
AAPL,knn,60.0,0.05,1229,0.4662327095199349,0.0967741935483871,0.34285714285714286,,,
AAPL,logreg,5.0,0.01,1284,0.4431464174454829,0.08928571428571429,0.5555555555555556,,,
AAPL,logreg,45.0,0.07,1244,0.3995176848874598,0.0891089108910891,0.8181818181818182,,,
AAPL,rf,60.0,0.05,1229,0.4662327095199349,0.08870967741935484,0.4230769230769231,,,
AAPL,rf,90.0,0.02,1199,0.6013344453711427,0.08064516129032258,0.21739130434782608,,,
AAPL,xgb,3.0,0.02,1286,0.25427682737169516,0.08064516129032258,0.4166666666666667,,,
AAPL,xgb,20.0,0.07,1269,0.23325453112687156,0.07692307692307693,0.1111111111111111,,,
AAPL,xgb,1.0,0.01,1288,0.24922360248447206,0.07017543859649122,0.5714285714285714,,,
AAPL,logreg,45.0,0.02,1244,0.5305466237942122,0.06766917293233082,1.0,,,
AAPL,knn,45.0,0.1,1244,0.2990353697749196,0.06578947368421052,0.3125,,,
AAPL,xgb,45.0,0.1,1244,0.2990353697749196,0.06578947368421052,0.14285714285714285,,,
AAPL,rf,60.0,0.07,1229,0.4165988608624898,0.06481481481481481,0.5,,,
AAPL,knn,3.0,0.02,1286,0.25427682737169516,0.06451612903225806,0.2857142857142857,,,
AAPL,logreg,5.0,0.07,1284,0.03894080996884735,0.0625,0.5,,,
AAPL,knn,10.0,0.05,1279,0.21657544956997654,0.0625,0.21428571428571427,,,
AAPL,rf,90.0,0.03,1199,0.5704753961634695,0.0603448275862069,0.22580645161290322,,,
AAPL,knn,20.0,0.07,1269,0.23325453112687156,0.057692307692307696,0.13043478260869565,,,
AAPL,rf,90.0,0.07,1199,0.4854045037531276,0.05660377358490566,0.2857142857142857,,,
AAPL,knn,60.0,0.07,1229,0.4165988608624898,0.05555555555555555,0.24,,,
AAPL,rf,90.0,0.05,1199,0.5229357798165137,0.05504587155963303,0.21428571428571427,,,
AAPL,xgb,20.0,0.1,1269,0.11899133175728921,0.05,0.030303030303030304,,,
AAPL,logreg,45.0,0.01,1244,0.5562700964630225,0.04964539007092199,1.0,,,
AAPL,logreg,60.0,0.05,1229,0.4662327095199349,0.04838709677419355,1.0,,,
AAPL,knn,5.0,0.03,1284,0.2266355140186916,0.046875,0.1875,,,
AAPL,logreg,60.0,0.03,1229,0.5337672904800651,0.04477611940298507,1.0,,,
AAPL,xgb,60.0,0.1,1229,0.34011391375101707,0.04395604395604396,0.17391304347826086,,,
AAPL,rf,20.0,0.07,1269,0.23325453112687156,0.038461538461538464,0.05714285714285714,,,
AAPL,xgb,90.0,0.07,1199,0.4854045037531276,0.03773584905660377,0.18181818181818182,,,
AAPL,logreg,60.0,0.07,1229,0.4165988608624898,0.037037037037037035,0.6666666666666666,,,
AAPL,rf,60.0,0.1,1229,0.34011391375101707,0.03296703296703297,0.3,,,
AAPL,xgb,5.0,0.03,1284,0.2266355140186916,0.03125,1.0,,,
AAPL,xgb,90.0,0.1,1199,0.40950792326939117,0.030612244897959183,0.42857142857142855,,,
AAPL,logreg,60.0,0.2,1229,0.09764035801464606,0.030303030303030304,0.5,,,
AAPL,knn,90.0,0.07,1199,0.4854045037531276,0.02830188679245283,0.1875,,,
AAPL,logreg,60.0,0.02,1229,0.5663140764849471,0.027972027972027972,1.0,,,
AAPL,xgb,60.0,0.15,1229,0.22457282343368593,0.02666666666666667,0.5,,,
AAPL,logreg,60.0,0.15,1229,0.22457282343368593,0.02666666666666667,0.4,,,
AAPL,logreg,45.0,0.1,1244,0.2990353697749196,0.02631578947368421,1.0,,,
AAPL,logreg,60.0,0.1,1229,0.34011391375101707,0.02197802197802198,0.2222222222222222,,,
AAPL,logreg,60.0,0.01,1229,0.6029292107404394,0.019867549668874173,1.0,,,
AAPL,rf,3.0,0.02,1286,0.25427682737169516,0.016129032258064516,1.0,,,
AAPL,knn,60.0,0.1,1229,0.34011391375101707,0.01098901098901099,0.07692307692307693,,,
AAPL,knn,90.0,0.1,1199,0.40950792326939117,0.01020408163265306,0.14285714285714285,,,
AAPL,knn,10.0,0.1,1279,0.03127443315089914,0.0,0.0,,,
AAPL,knn,10.0,0.15,1279,0.0023455824863174357,0.0,0.0,,,
AAPL,knn,3.0,0.03,1286,0.13996889580093314,0.0,0.0,,,
AAPL,knn,1.0,0.03,1288,0.039596273291925464,0.0,0.0,,,
AAPL,knn,1.0,0.02,1288,0.10015527950310558,0.0,0.0,,,
AAPL,knn,1.0,0.01,1288,0.24922360248447206,0.0,0.0,,,
AAPL,knn,1.0,0.07,1288,0.003105590062111801,0.0,0.0,,,
AAPL,knn,3.0,0.05,1286,0.05287713841368585,0.0,0.0,,,
AAPL,knn,5.0,0.07,1284,0.03894080996884735,0.0,0.0,,,
AAPL,knn,1.0,0.05,1288,0.007763975155279503,0.0,0.0,,,
AAPL,logreg,90.0,0.1,1199,0.40950792326939117,0.0,0.0,,,
AAPL,logreg,90.0,0.15,1199,0.2810675562969141,0.0,0.0,,,
AAPL,logreg,90.0,0.18,1199,0.23019182652210174,0.0,0.0,,,
AAPL,logreg,45.0,0.15,1244,0.13263665594855306,0.0,0.0,,,
AAPL,logreg,90.0,0.03,1199,0.5704753961634695,0.0,0.0,,,
AAPL,logreg,90.0,0.05,1199,0.5229357798165137,0.0,0.0,,,
AAPL,logreg,90.0,0.01,1199,0.6330275229357798,0.0,0.0,,,
AAPL,logreg,60.0,0.18,1229,0.14646053702196907,0.0,0.0,,,
AAPL,logreg,45.0,0.2,1244,0.04662379421221865,0.0,0.0,,,
AAPL,logreg,45.0,0.18,1244,0.0747588424437299,0.0,0.0,,,
AAPL,logreg,20.0,0.15,1269,0.02364066193853428,0.0,0.0,,,
AAPL,logreg,90.0,0.02,1199,0.6013344453711427,0.0,0.0,,,
AAPL,logreg,1.0,0.07,1288,0.003105590062111801,0.0,0.0,,,
AAPL,knn,5.0,0.05,1284,0.10825545171339564,0.0,0.0,,,
AAPL,logreg,90.0,0.2,1199,0.1793160967472894,0.0,0.0,,,
AAPL,logreg,90.0,0.07,1199,0.4854045037531276,0.0,0.0,,,
AAPL,knn,60.0,0.15,1229,0.22457282343368593,0.0,0.0,,,
AAPL,knn,60.0,0.18,1229,0.14646053702196907,0.0,0.0,,,
AAPL,knn,90.0,0.18,1199,0.23019182652210174,0.0,0.0,,,
AAPL,rf,45.0,0.18,1244,0.0747588424437299,0.0,0.0,,,
AAPL,rf,45.0,0.15,1244,0.13263665594855306,0.0,0.0,,,
AAPL,rf,45.0,0.1,1244,0.2990353697749196,0.0,0.0,,,
AAPL,rf,20.0,0.15,1269,0.02364066193853428,0.0,0.0,,,
AAPL,rf,20.0,0.1,1269,0.11899133175728921,0.0,0.0,,,
AAPL,rf,45.0,0.2,1244,0.04662379421221865,0.0,0.0,,,
AAPL,rf,10.0,0.05,1279,0.21657544956997654,0.0,0.0,,,
AAPL,rf,10.0,0.15,1279,0.0023455824863174357,0.0,0.0,,,
AAPL,rf,1.0,0.01,1288,0.24922360248447206,0.0,0.0,,,
AAPL,rf,3.0,0.05,1286,0.05287713841368585,0.0,0.0,,,
AAPL,rf,3.0,0.03,1286,0.13996889580093314,0.0,0.0,,,
AAPL,rf,1.0,0.05,1288,0.007763975155279503,0.0,0.0,,,
AAPL,rf,1.0,0.07,1288,0.003105590062111801,0.0,0.0,,,
AAPL,rf,1.0,0.03,1288,0.039596273291925464,0.0,0.0,,,
AAPL,rf,1.0,0.02,1288,0.10015527950310558,0.0,0.0,,,
AAPL,rf,5.0,0.02,1284,0.32398753894080995,0.0,0.0,,,
AAPL,rf,3.0,0.07,1286,0.017107309486780714,0.0,0.0,,,
AAPL,rf,5.0,0.1,1284,0.009345794392523364,0.0,0.0,,,
AAPL,rf,5.0,0.07,1284,0.03894080996884735,0.0,0.0,,,
AAPL,rf,5.0,0.05,1284,0.10825545171339564,0.0,0.0,,,
AAPL,rf,5.0,0.03,1284,0.2266355140186916,0.0,0.0,,,
AAPL,rf,10.0,0.07,1279,0.12275215011727912,0.0,0.0,,,
AAPL,rf,10.0,0.1,1279,0.03127443315089914,0.0,0.0,,,
AAPL,knn,90.0,0.15,1199,0.2810675562969141,0.0,0.0,,,
AAPL,knn,20.0,0.1,1269,0.11899133175728921,0.0,0.0,,,
AAPL,knn,3.0,0.07,1286,0.017107309486780714,0.0,0.0,,,
AAPL,knn,20.0,0.15,1269,0.02364066193853428,0.0,0.0,,,
AAPL,knn,45.0,0.15,1244,0.13263665594855306,0.0,0.0,,,
AAPL,knn,5.0,0.1,1284,0.009345794392523364,0.0,0.0,,,
AAPL,knn,10.0,0.07,1279,0.12275215011727912,0.0,0.0,,,
AAPL,knn,45.0,0.18,1244,0.0747588424437299,0.0,0.0,,,
AAPL,knn,45.0,0.2,1244,0.04662379421221865,0.0,0.0,,,
AAPL,knn,90.0,0.2,1199,0.1793160967472894,0.0,0.0,,,
AAPL,knn,60.0,0.2,1229,0.09764035801464606,0.0,0.0,,,
AAPL,rf,90.0,0.15,1199,0.2810675562969141,0.0,0.0,,,
AAPL,rf,90.0,0.2,1199,0.1793160967472894,0.0,0.0,,,
AAPL,rf,60.0,0.2,1229,0.09764035801464606,0.0,0.0,,,
AAPL,rf,60.0,0.18,1229,0.14646053702196907,0.0,0.0,,,
AAPL,rf,90.0,0.1,1199,0.40950792326939117,0.0,0.0,,,
AAPL,rf,90.0,0.18,1199,0.23019182652210174,0.0,0.0,,,
AAPL,rf,60.0,0.15,1229,0.22457282343368593,0.0,0.0,,,
AAPL,xgb,1.0,0.05,1288,0.007763975155279503,0.0,0.0,,,
AAPL,xgb,1.0,0.07,1288,0.003105590062111801,0.0,0.0,,,
AAPL,xgb,1.0,0.03,1288,0.039596273291925464,0.0,0.0,,,
AAPL,xgb,3.0,0.03,1286,0.13996889580093314,0.0,0.0,,,
AAPL,xgb,3.0,0.05,1286,0.05287713841368585,0.0,0.0,,,
AAPL,xgb,1.0,0.02,1288,0.10015527950310558,0.0,0.0,,,
AAPL,xgb,5.0,0.1,1284,0.009345794392523364,0.0,0.0,,,
AAPL,xgb,10.0,0.1,1279,0.03127443315089914,0.0,0.0,,,
AAPL,xgb,10.0,0.15,1279,0.0023455824863174357,0.0,0.0,,,
AAPL,xgb,10.0,0.05,1279,0.21657544956997654,0.0,0.0,,,
AAPL,xgb,10.0,0.07,1279,0.12275215011727912,0.0,0.0,,,
AAPL,xgb,3.0,0.07,1286,0.017107309486780714,0.0,0.0,,,
AAPL,xgb,5.0,0.05,1284,0.10825545171339564,0.0,0.0,,,
AAPL,xgb,5.0,0.07,1284,0.03894080996884735,0.0,0.0,,,
AAPL,xgb,20.0,0.15,1269,0.02364066193853428,0.0,0.0,,,
AAPL,xgb,45.0,0.18,1244,0.0747588424437299,0.0,0.0,,,
AAPL,xgb,45.0,0.2,1244,0.04662379421221865,0.0,0.0,,,
AAPL,xgb,45.0,0.15,1244,0.13263665594855306,0.0,0.0,,,
AAPL,xgb,60.0,0.18,1229,0.14646053702196907,0.0,0.0,,,
AAPL,xgb,60.0,0.2,1229,0.09764035801464606,0.0,0.0,,,
AAPL,xgb,90.0,0.15,1199,0.2810675562969141,0.0,0.0,,,
AAPL,xgb,90.0,0.18,1199,0.23019182652210174,0.0,0.0,,,
AAPL,xgb,90.0,0.2,1199,0.1793160967472894,0.0,0.0,,,
AAPL,logreg,1.0,0.1,1288,0.0007763975155279503,,,skip (une seule classe dans train ou test),,
AAPL,logreg,1.0,0.15,1288,0.0007763975155279503,,,skip (une seule classe dans train ou test),,
,,,0.18,1288,0.0,,,skip (target constant ou trop peu de données),,
,,,0.2,1288,0.0,,,skip (target constant ou trop peu de données),,
AAPL,logreg,3.0,0.1,1286,0.0023328149300155523,,,skip (une seule classe dans train ou test),,
,,,0.15,1286,0.0,,,skip (target constant ou trop peu de données),,
,,,0.18,1286,0.0,,,skip (target constant ou trop peu de données),,
,,,0.2,1286,0.0,,,skip (target constant ou trop peu de données),,
AAPL,logreg,5.0,0.15,1284,0.000778816199376947,,,skip (une seule classe dans train ou test),,
,,,0.18,1284,0.0,,,skip (target constant ou trop peu de données),,
,,,0.2,1284,0.0,,,skip (target constant ou trop peu de données),,
AAPL,logreg,10.0,0.18,1279,0.0007818608287724785,,,skip (une seule classe dans train ou test),,
,,,0.2,1279,0.0,,,skip (target constant ou trop peu de données),,
AAPL,logreg,20.0,0.18,1269,0.006304176516942475,,,skip (une seule classe dans train ou test),,
AAPL,logreg,20.0,0.2,1269,0.002364066193853428,,,skip (une seule classe dans train ou test),,
AAPL,knn,1.0,0.1,1288,0.0007763975155279503,,,skip (une seule classe dans train ou test),,
AAPL,knn,1.0,0.15,1288,0.0007763975155279503,,,skip (une seule classe dans train ou test),,
,,,0.18,1288,0.0,,,skip (target constant ou trop peu de données),,
,,,0.2,1288,0.0,,,skip (target constant ou trop peu de données),,
AAPL,knn,3.0,0.1,1286,0.0023328149300155523,,,skip (une seule classe dans train ou test),,
,,,0.15,1286,0.0,,,skip (target constant ou trop peu de données),,
,,,0.18,1286,0.0,,,skip (target constant ou trop peu de données),,
,,,0.2,1286,0.0,,,skip (target constant ou trop peu de données),,
AAPL,knn,5.0,0.15,1284,0.000778816199376947,,,skip (une seule classe dans train ou test),,
,,,0.18,1284,0.0,,,skip (target constant ou trop peu de données),,
,,,0.2,1284,0.0,,,skip (target constant ou trop peu de données),,
AAPL,knn,10.0,0.18,1279,0.0007818608287724785,,,skip (une seule classe dans train ou test),,
,,,0.2,1279,0.0,,,skip (target constant ou trop peu de données),,
AAPL,knn,20.0,0.18,1269,0.006304176516942475,,,skip (une seule classe dans train ou test),,
AAPL,knn,20.0,0.2,1269,0.002364066193853428,,,skip (une seule classe dans train ou test),,
AAPL,rf,1.0,0.1,1288,0.0007763975155279503,,,skip (une seule classe dans train ou test),,
AAPL,rf,1.0,0.15,1288,0.0007763975155279503,,,skip (une seule classe dans train ou test),,
,,,0.18,1288,0.0,,,skip (target constant ou trop peu de données),,
,,,0.2,1288,0.0,,,skip (target constant ou trop peu de données),,
AAPL,rf,3.0,0.1,1286,0.0023328149300155523,,,skip (une seule classe dans train ou test),,
,,,0.15,1286,0.0,,,skip (target constant ou trop peu de données),,
,,,0.18,1286,0.0,,,skip (target constant ou trop peu de données),,
,,,0.2,1286,0.0,,,skip (target constant ou trop peu de données),,
AAPL,rf,5.0,0.15,1284,0.000778816199376947,,,skip (une seule classe dans train ou test),,
,,,0.18,1284,0.0,,,skip (target constant ou trop peu de données),,
