Titre,URL,Résumé,Résumé auto,Auteurs,Date,Mots-clés
La Bourse de Paris résiste mieux que les places européennes et conclut sur un léger recul,https://www.lefigaro.fr/flash-eco/la-bourse-de-paris-resiste-mieux-que-les-places-europeennes-et-conclut-sur-un-leger-recul-20251017,"La Bourse de Paris a terminé en léger recul vendredi, résistant mieux que les autres places européennes qui ont terminé en nette baisse dans un marché soucieux de la stabilité financière des banques régionales américaines. L'indice vedette CAC 40, qui a abandonné jusqu'à 1% en séance, a finalement conclu en retrait de 0,18%, lâchant 14,39 points à 8.174,20 points. Vendredi, les inquiétudes après «les révélations de prêts défaillants» aux États-Unis ont ébranlé les marchés, a expliqué Patrick Munnelly, analyste de Tickmill Group. Le CAC 40 termine toutefois la semaine sur une hausse hebdomadaire de 3,24%. La place parisienne est à 65 points de son record en clôture atteint le 15 mai 2024 à 8.239,99 points.","L'indice vedette CAC 40, qui a abandonné jusqu'à 1% en séance, a finalement conclu en retrait de 0,18%, lâchant 14,39 points à 8.174,20 points. «Bien que cela concerne seulement deux petites banques, chacune valorisée à moins de 10 milliards de dollars, l'événement a inévitablement rappelé les tensions sur les banques régionales après la faillite de Silicon Valley Bank (SVB) en mars 2023 et a ravivé les craintes concernant la qualité du crédit après une longue période de taux élevés et d'expansion du crédit privé», ont expliqué les économistes de Deutsche Bank. «Le CAC 40 est très lié à des sociétés de croissance qui ont sous-performé depuis un an et demi», relève Emmanuel Auboyneau citant notamment les chiffres publiés cette semaine par LVMH et EssilorLuxottica, qui ont été «une bonne surprise».",Par Le Figaro Avec Afp,2025-10-17 18:53:23+02:00,"européennes, toutefois, mieux, semaine, léger, cac, crédit, banques, résiste, points, après, conclut, bourse, 40, places, terminé, paris, vendredi, recul"
"Les Bourses européennes reprennent des couleurs, rassurées sur les tensions commerciales",https://www.france24.com/fr/info-en-continu/20251013-les-bourses-européennes-reprennent-des-couleurs-rassurées-sur-les-tensions-commerciales,"Les Bourses européennes reprennent des couleurs, rassurées sur les tensions commercialesParis (AFP) – Les Bourses européennes ont repris des couleurs lundi après leur décrochage en fin de semaine à la suite des menaces de nouveaux droits de douane sur la Chine par le président américain Donald Trump, qui a ensuite joué l'apaisement.","Les Bourses européennes reprennent des couleurs, rassurées sur les tensions commerciales Paris (AFP) – Les Bourses européennes ont repris des couleurs lundi après leur décrochage en fin de semaine à la suite des menaces de nouveaux droits de douane sur la Chine par le président américain Donald Trump, qui a ensuite joué l'apaisement.",(inconnu),2025-10-13 00:00:00,"couleurs, tensions, européennes, bourses, trump, commerciales, reprennent, suite, rassurées, semaine, repris"
"Les Bourses européennes en hausse, rassurées sur les tensions commerciales",https://www.lefigaro.fr/flash-eco/les-bourses-europeennes-retrouvent-des-couleurs-rassurees-sur-les-tensions-commerciales-20251013,"La Bourse de Paris a terminé en hausse de 0,21%, Francfort a pris 0,60% et Londres a grappillé 0,16%, selon des chiffres définitifs. Sur le marché de la dette, le taux de l’emprunt français à dix ans s’est inscrit à 3,46%, contre 3,48% en clôture vendredi. PublicitéPour Christopher Dembik, conseiller en investissement chez Pictet AM, la situation politique en France reste «pour l’instant un non-évènement». Sur le marché des changes, «l’euro reste plombé par la fragilité politique en France», remarque Stephen Innes, analyste à SPI AM. Vers 16H00 GMT, l’euro perdait 0,34% face au billet vert, à 1,1575 dollar pour un euro.","Les Bourses européennes ont repris des couleurs lundi après leur décrochage en fin de semaine à la suite des menaces de nouveaux droits de douane sur la Chine par le président américain Donald Trump, qui a ensuite joué l'apaisement. La scène politique française est toujours sur le radar des investisseurs avec l’entrée en fonction du deuxième gouvernement de Sébastien Lecornu qui doit déposer un projet de budget dans les temps. Sur le marché des changes, «l’euro reste plombé par la fragilité politique en France», remarque Stephen Innes, analyste à SPI AM.",Par Le Figaro Avec Afp,2025-10-13 18:04:32+02:00,"vers, tensions, européennes, bourses, leuro, reste, am, marché, gouvernement, commerciales, hausse, rassurées, politique, france, vendredipublicitépour, vert"
La Bourse de Paris résiste mieux que les places européennes et conclut sur un léger recul,https://www.lefigaro.fr/flash-eco/la-bourse-de-paris-resiste-mieux-que-les-places-europeennes-et-conclut-sur-un-leger-recul-20251017,"La Bourse de Paris a terminé en léger recul vendredi, résistant mieux que les autres places européennes qui ont terminé en nette baisse dans un marché soucieux de la stabilité financière des banques régionales américaines. L'indice vedette CAC 40, qui a abandonné jusqu'à 1% en séance, a finalement conclu en retrait de 0,18%, lâchant 14,39 points à 8.174,20 points. Vendredi, les inquiétudes après «les révélations de prêts défaillants» aux États-Unis ont ébranlé les marchés, a expliqué Patrick Munnelly, analyste de Tickmill Group. À Paris, BNP Paribas a cédé 3,96%, Crédit Agricole 2,45% et Société Générale 5,10%. Le CAC 40 termine toutefois la semaine sur une hausse hebdomadaire de 3,24%.","L'indice vedette CAC 40, qui a abandonné jusqu'à 1% en séance, a finalement conclu en retrait de 0,18%, lâchant 14,39 points à 8.174,20 points. «Bien que cela concerne seulement deux petites banques, chacune valorisée à moins de 10 milliards de dollars, l'événement a inévitablement rappelé les tensions sur les banques régionales après la faillite de Silicon Valley Bank (SVB) en mars 2023 et a ravivé les craintes concernant la qualité du crédit après une longue période de taux élevés et d'expansion du crédit privé», ont expliqué les économistes de Deutsche Bank. «Le CAC 40 est très lié à des sociétés de croissance qui ont sous-performé depuis un an et demi», relève Emmanuel Auboyneau citant notamment les chiffres publiés cette semaine par LVMH et EssilorLuxottica, qui ont été «une bonne surprise».",Le Figaro avec,2025-10-17 18:53:23+02:00,"résiste, conclut, bourse, paris, léger, recul, mieux, places, européennes, points, après, banques, cac, 40, crédit, terminé, vendredi, marché, régionales, 8, prêts, marchés, expliqué, 50, dollars, 3, 10, cela, milliards, bank, emmanuel, auboyneau, toutefois, semaine, essilorluxottica"
"Les Bourses européennes en hausse, rassurées sur les tensions commerciales",https://www.lefigaro.fr/flash-eco/les-bourses-europeennes-retrouvent-des-couleurs-rassurees-sur-les-tensions-commerciales-20251013,"La Bourse de Paris a terminé en hausse de 0,21%, Francfort a pris 0,60% et Londres a grappillé 0,16%, selon des chiffres définitifs. Sur le marché de la dette, le taux de l’emprunt français à dix ans s’est inscrit à 3,46%, contre 3,48% en clôture vendredi. Passer la publicité Pour Christopher Dembik, conseiller en investissement chez Pictet AM, la situation politique en France reste «pour l’instant un non-évènement». Sur le marché des changes, «l’euro reste plombé par la fragilité politique en France», remarque Stephen Innes, analyste à SPI AM. Vers 16H00 GMT, l’euro perdait 0,34% face au billet vert, à 1,1575 dollar pour un euro.","Les Bourses européennes ont repris des couleurs lundi après leur décrochage en fin de semaine à la suite des menaces de nouveaux droits de douane sur la Chine par le président américain Donald Trump, qui a ensuite joué l'apaisement. La scène politique française est toujours sur le radar des investisseurs avec l’entrée en fonction du deuxième gouvernement de Sébastien Lecornu qui doit déposer un projet de budget dans les temps. Sur le marché des changes, «l’euro reste plombé par la fragilité politique en France», remarque Stephen Innes, analyste à SPI AM.",Le Figaro avec,2025-10-13 18:04:32+02:00,"hausse, rassurées, tensions, commerciales, bourses, européennes, 0, france, politique, radar, gouvernement, marché, 3, am, reste, l’euro, repris, couleurs, lundi, après, décrochage, fin, semaine, suite, menaces, nouveaux, droits, douane, chine, président, américain, donald, trump, ensuite, joué"
La Bourse de Paris résiste mieux que les places européennes et conclut sur un léger recul,https://www.lefigaro.fr/flash-eco/la-bourse-de-paris-resiste-mieux-que-les-places-europeennes-et-conclut-sur-un-leger-recul-20251017,"La Bourse de Paris a terminé en léger recul vendredi, résistant mieux que les autres places européennes qui ont terminé en nette baisse dans un marché soucieux de la stabilité financière des banques régionales américaines. L'indice vedette CAC 40, qui a abandonné jusqu'à 1% en séance, a finalement conclu en retrait de 0,18%, lâchant 14,39 points à 8.174,20 points. Vendredi, les inquiétudes après «les révélations de prêts défaillants» aux États-Unis ont ébranlé les marchés, a expliqué Patrick Munnelly, analyste de Tickmill Group. À Paris, BNP Paribas a cédé 3,96%, Crédit Agricole 2,45% et Société Générale 5,10%. Le CAC 40 termine toutefois la semaine sur une hausse hebdomadaire de 3,24%.","L'indice vedette CAC 40, qui a abandonné jusqu'à 1% en séance, a finalement conclu en retrait de 0,18%, lâchant 14,39 points à 8.174,20 points. «Bien que cela concerne seulement deux petites banques, chacune valorisée à moins de 10 milliards de dollars, l'événement a inévitablement rappelé les tensions sur les banques régionales après la faillite de Silicon Valley Bank (SVB) en mars 2023 et a ravivé les craintes concernant la qualité du crédit après une longue période de taux élevés et d'expansion du crédit privé», ont expliqué les économistes de Deutsche Bank. «Le CAC 40 est très lié à des sociétés de croissance qui ont sous-performé depuis un an et demi», relève Emmanuel Auboyneau citant notamment les chiffres publiés cette semaine par LVMH et EssilorLuxottica, qui ont été «une bonne surprise».",Le Figaro avec,2025-10-17 18:53:23+02:00,"résiste, conclut, bourse, paris, léger, recul, mieux, places, européennes, points, après, banques, cac, 40, crédit, terminé, vendredi, marché, régionales, 8, prêts, marchés, expliqué, 50, dollars, 3, 10, cela, milliards, bank, emmanuel, auboyneau, toutefois, semaine, essilorluxottica"
"Les Bourses européennes en hausse, rassurées sur les tensions commerciales",https://www.lefigaro.fr/flash-eco/les-bourses-europeennes-retrouvent-des-couleurs-rassurees-sur-les-tensions-commerciales-20251013,"La Bourse de Paris a terminé en hausse de 0,21%, Francfort a pris 0,60% et Londres a grappillé 0,16%, selon des chiffres définitifs. Sur le marché de la dette, le taux de l’emprunt français à dix ans s’est inscrit à 3,46%, contre 3,48% en clôture vendredi. Passer la publicité Pour Christopher Dembik, conseiller en investissement chez Pictet AM, la situation politique en France reste «pour l’instant un non-évènement». Sur le marché des changes, «l’euro reste plombé par la fragilité politique en France», remarque Stephen Innes, analyste à SPI AM. Vers 16H00 GMT, l’euro perdait 0,34% face au billet vert, à 1,1575 dollar pour un euro.","Les Bourses européennes ont repris des couleurs lundi après leur décrochage en fin de semaine à la suite des menaces de nouveaux droits de douane sur la Chine par le président américain Donald Trump, qui a ensuite joué l'apaisement. La scène politique française est toujours sur le radar des investisseurs avec l’entrée en fonction du deuxième gouvernement de Sébastien Lecornu qui doit déposer un projet de budget dans les temps. Sur le marché des changes, «l’euro reste plombé par la fragilité politique en France», remarque Stephen Innes, analyste à SPI AM.",Le Figaro avec,2025-10-13 18:04:32+02:00,"hausse, rassurées, tensions, commerciales, bourses, européennes, 0, france, politique, radar, gouvernement, marché, 3, am, reste, l’euro, repris, couleurs, lundi, après, décrochage, fin, semaine, suite, menaces, nouveaux, droits, douane, chine, président, américain, donald, trump, ensuite, joué"
La Bourse de Paris résiste mieux que les places européennes et conclut sur un léger recul,https://www.lefigaro.fr/flash-eco/la-bourse-de-paris-resiste-mieux-que-les-places-europeennes-et-conclut-sur-un-leger-recul-20251017,"La Bourse de Paris a terminé en léger recul vendredi, résistant mieux que les autres places européennes qui ont terminé en nette baisse dans un marché soucieux de la stabilité financière des banques régionales américaines. L'indice vedette CAC 40, qui a abandonné jusqu'à 1% en séance, a finalement conclu en retrait de 0,18%, lâchant 14,39 points à 8.174,20 points. Vendredi, les inquiétudes après «les révélations de prêts défaillants» aux États-Unis ont ébranlé les marchés, a expliqué Patrick Munnelly, analyste de Tickmill Group. À Paris, BNP Paribas a cédé 3,96%, Crédit Agricole 2,45% et Société Générale 5,10%. Le CAC 40 termine toutefois la semaine sur une hausse hebdomadaire de 3,24%.","L'indice vedette CAC 40, qui a abandonné jusqu'à 1% en séance, a finalement conclu en retrait de 0,18%, lâchant 14,39 points à 8.174,20 points. «Bien que cela concerne seulement deux petites banques, chacune valorisée à moins de 10 milliards de dollars, l'événement a inévitablement rappelé les tensions sur les banques régionales après la faillite de Silicon Valley Bank (SVB) en mars 2023 et a ravivé les craintes concernant la qualité du crédit après une longue période de taux élevés et d'expansion du crédit privé», ont expliqué les économistes de Deutsche Bank. «Le CAC 40 est très lié à des sociétés de croissance qui ont sous-performé depuis un an et demi», relève Emmanuel Auboyneau citant notamment les chiffres publiés cette semaine par LVMH et EssilorLuxottica, qui ont été «une bonne surprise».",Le Figaro avec,2025-10-17 18:53:23+02:00,"résiste, conclut, bourse, paris, léger, recul, mieux, places, européennes, points, après, banques, cac, 40, crédit, terminé, vendredi, marché, régionales, 8, prêts, marchés, expliqué, 50, dollars, 3, 10, cela, milliards, bank, emmanuel, auboyneau, toutefois, semaine, essilorluxottica"
"Les Bourses européennes en hausse, rassurées sur les tensions commerciales",https://www.lefigaro.fr/flash-eco/les-bourses-europeennes-retrouvent-des-couleurs-rassurees-sur-les-tensions-commerciales-20251013,"La Bourse de Paris a terminé en hausse de 0,21%, Francfort a pris 0,60% et Londres a grappillé 0,16%, selon des chiffres définitifs. Sur le marché de la dette, le taux de l’emprunt français à dix ans s’est inscrit à 3,46%, contre 3,48% en clôture vendredi. Passer la publicité Pour Christopher Dembik, conseiller en investissement chez Pictet AM, la situation politique en France reste «pour l’instant un non-évènement». Sur le marché des changes, «l’euro reste plombé par la fragilité politique en France», remarque Stephen Innes, analyste à SPI AM. Vers 16H00 GMT, l’euro perdait 0,34% face au billet vert, à 1,1575 dollar pour un euro.","Les Bourses européennes ont repris des couleurs lundi après leur décrochage en fin de semaine à la suite des menaces de nouveaux droits de douane sur la Chine par le président américain Donald Trump, qui a ensuite joué l'apaisement. La scène politique française est toujours sur le radar des investisseurs avec l’entrée en fonction du deuxième gouvernement de Sébastien Lecornu qui doit déposer un projet de budget dans les temps. Sur le marché des changes, «l’euro reste plombé par la fragilité politique en France», remarque Stephen Innes, analyste à SPI AM.",Le Figaro avec,2025-10-13 18:04:32+02:00,"hausse, rassurées, tensions, commerciales, bourses, européennes, 0, france, politique, radar, gouvernement, marché, 3, am, reste, l’euro, repris, couleurs, lundi, après, décrochage, fin, semaine, suite, menaces, nouveaux, droits, douane, chine, président, américain, donald, trump, ensuite, joué"
La Bourse de Paris résiste mieux que les places européennes et conclut sur un léger recul,https://www.lefigaro.fr/flash-eco/la-bourse-de-paris-resiste-mieux-que-les-places-europeennes-et-conclut-sur-un-leger-recul-20251017,"La Bourse de Paris a terminé en léger recul vendredi, résistant mieux que les autres places européennes qui ont terminé en nette baisse dans un marché soucieux de la stabilité financière des banques régionales américaines. L'indice vedette CAC 40, qui a abandonné jusqu'à 1% en séance, a finalement conclu en retrait de 0,18%, lâchant 14,39 points à 8.174,20 points. Vendredi, les inquiétudes après «les révélations de prêts défaillants» aux États-Unis ont ébranlé les marchés, a expliqué Patrick Munnelly, analyste de Tickmill Group. À Paris, BNP Paribas a cédé 3,96%, Crédit Agricole 2,45% et Société Générale 5,10%. Le CAC 40 termine toutefois la semaine sur une hausse hebdomadaire de 3,24%.","L'indice vedette CAC 40, qui a abandonné jusqu'à 1% en séance, a finalement conclu en retrait de 0,18%, lâchant 14,39 points à 8.174,20 points. «Bien que cela concerne seulement deux petites banques, chacune valorisée à moins de 10 milliards de dollars, l'événement a inévitablement rappelé les tensions sur les banques régionales après la faillite de Silicon Valley Bank (SVB) en mars 2023 et a ravivé les craintes concernant la qualité du crédit après une longue période de taux élevés et d'expansion du crédit privé», ont expliqué les économistes de Deutsche Bank. «Le CAC 40 est très lié à des sociétés de croissance qui ont sous-performé depuis un an et demi», relève Emmanuel Auboyneau citant notamment les chiffres publiés cette semaine par LVMH et EssilorLuxottica, qui ont été «une bonne surprise».",Le Figaro avec,2025-10-17 18:53:23+02:00,"résiste, conclut, bourse, paris, léger, recul, mieux, places, européennes, points, après, banques, cac, 40, crédit, terminé, vendredi, marché, régionales, 8, prêts, marchés, expliqué, 50, dollars, 3, 10, cela, milliards, bank, emmanuel, auboyneau, toutefois, semaine, essilorluxottica"
"Les Bourses européennes en hausse, rassurées sur les tensions commerciales",https://www.lefigaro.fr/flash-eco/les-bourses-europeennes-retrouvent-des-couleurs-rassurees-sur-les-tensions-commerciales-20251013,"La Bourse de Paris a terminé en hausse de 0,21%, Francfort a pris 0,60% et Londres a grappillé 0,16%, selon des chiffres définitifs. Sur le marché de la dette, le taux de l’emprunt français à dix ans s’est inscrit à 3,46%, contre 3,48% en clôture vendredi. Passer la publicité Pour Christopher Dembik, conseiller en investissement chez Pictet AM, la situation politique en France reste «pour l’instant un non-évènement». Sur le marché des changes, «l’euro reste plombé par la fragilité politique en France», remarque Stephen Innes, analyste à SPI AM. Vers 16H00 GMT, l’euro perdait 0,34% face au billet vert, à 1,1575 dollar pour un euro.","Les Bourses européennes ont repris des couleurs lundi après leur décrochage en fin de semaine à la suite des menaces de nouveaux droits de douane sur la Chine par le président américain Donald Trump, qui a ensuite joué l'apaisement. La scène politique française est toujours sur le radar des investisseurs avec l’entrée en fonction du deuxième gouvernement de Sébastien Lecornu qui doit déposer un projet de budget dans les temps. Sur le marché des changes, «l’euro reste plombé par la fragilité politique en France», remarque Stephen Innes, analyste à SPI AM.",Le Figaro avec,2025-10-13 18:04:32+02:00,"hausse, rassurées, tensions, commerciales, bourses, européennes, 0, france, politique, radar, gouvernement, marché, 3, am, reste, l’euro, repris, couleurs, lundi, après, décrochage, fin, semaine, suite, menaces, nouveaux, droits, douane, chine, président, américain, donald, trump, ensuite, joué"
La Bourse de Paris freinée par des craintes liées au crédit aux États-Unis,https://www.lefigaro.fr/flash-eco/la-bourse-de-paris-freinee-par-des-craintes-liees-au-credit-aux-etats-unis-20251017,"La Bourse de Paris évolue dans le rouge vendredi, dans un marché chahuté par les inquiétudes des investisseurs quant à la qualité du crédit aux États-Unis après des allégations de prêts frauduleux de deux banques régionales américaines la veille. L'indice vedette CAC 40 abandonnait 0,98%, soit 79,90 points, à 8.108,69 points, vers 09h40. Son dernier pic historique en séance a été touché le 10 mai 2024, à 8.259,19 points. Vendredi, les inquiétudes après «les révélations de prêts défaillants» aux États-Unis ont pris le dessus, commente Patrick Munnelly, analyste de Tickmill Group. Le titre s'envolait de 11,50% à 308,40 euros vers 09h45.","La Bourse de Paris évolue dans le rouge vendredi, dans un marché chahuté par les inquiétudes des investisseurs quant à la qualité du crédit aux États-Unis après des allégations de prêts frauduleux de deux banques régionales américaines la veille. L'indice vedette CAC 40 abandonnait 0,98%, soit 79,90 points, à 8.108,69 points, vers 09h40. À la cote parisienne, BNP Paribas baissait de 3,37% à 75,35 euros, Crédit Agricole de 2,22% à 16,53 euros et Société générale reculait aussi fortement, de 3,89% à 54,32 euros.",Le Figaro avec,2025-10-17 10:28:49+02:00,"paris, freinée, craintes, liées, crédit, états-unis, bourse, après, points, euros, 3, inquiétudes, prêts, deux, 40, 8, plus, patrick, dollars, vendredi, quant, cac, vers, jeudi, 6, mai, 2024, 10, 19, munnelly, avoir, 50, millions, liée, troisième"
La Bourse de Paris résiste mieux que les places européennes et conclut sur un léger recul,https://www.lefigaro.fr/flash-eco/la-bourse-de-paris-resiste-mieux-que-les-places-europeennes-et-conclut-sur-un-leger-recul-20251017,"La Bourse de Paris a terminé en léger recul vendredi, résistant mieux que les autres places européennes qui ont terminé en nette baisse dans un marché soucieux de la stabilité financière des banques régionales américaines. L'indice vedette CAC 40, qui a abandonné jusqu'à 1% en séance, a finalement conclu en retrait de 0,18%, lâchant 14,39 points à 8.174,20 points. Vendredi, les inquiétudes après «les révélations de prêts défaillants» aux États-Unis ont ébranlé les marchés, a expliqué Patrick Munnelly, analyste de Tickmill Group. À Paris, BNP Paribas a cédé 3,96%, Crédit Agricole 2,45% et Société Générale 5,10%. Le CAC 40 termine toutefois la semaine sur une hausse hebdomadaire de 3,24%.","L'indice vedette CAC 40, qui a abandonné jusqu'à 1% en séance, a finalement conclu en retrait de 0,18%, lâchant 14,39 points à 8.174,20 points. «Bien que cela concerne seulement deux petites banques, chacune valorisée à moins de 10 milliards de dollars, l'événement a inévitablement rappelé les tensions sur les banques régionales après la faillite de Silicon Valley Bank (SVB) en mars 2023 et a ravivé les craintes concernant la qualité du crédit après une longue période de taux élevés et d'expansion du crédit privé», ont expliqué les économistes de Deutsche Bank. «Le CAC 40 est très lié à des sociétés de croissance qui ont sous-performé depuis un an et demi», relève Emmanuel Auboyneau citant notamment les chiffres publiés cette semaine par LVMH et EssilorLuxottica, qui ont été «une bonne surprise».",Le Figaro avec,2025-10-17 18:53:23+02:00,"résiste, conclut, bourse, paris, léger, recul, mieux, places, européennes, points, après, banques, cac, 40, crédit, terminé, vendredi, marché, régionales, 8, prêts, marchés, expliqué, 50, dollars, 3, 10, cela, milliards, bank, emmanuel, auboyneau, toutefois, semaine, essilorluxottica"
